AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Seraikella,51,ST,Champai Soren,Jharkhand Mukti Morcha,232129,149745,64.5 %,882,0.6%
Chaibasa,52,ST,Putkar Hembrom,Bharatiya Janta Party,155917,92559,59.4 %,5065,5.5%
Majhgaon,53,ST,Niral Purty,Jharkhand Mukti Morcha,138565,86788,62.6 %,5201,6.0%
Jaganathpur,54,ST,Madhu Kodah,Independent,130744,73162,56.0 %,14787,20.2%
Manoharpur,55,ST,Joba Majhi,United Goans Democratic Party,150580,87386,58.0 %,1597,1.8%
Chakradharpur,56,ST,Sukhram Oraon,Jharkhand Mukti Morcha,145234,83494,57.5 %,19972,23.9%
Kharsawan,57,ST,Arjun Munda,Bharatiya Janta Party,164155,109308,66.6 %,55344,50.6%
Tamar,58,ST,Ramesh Singh Munda,Janata Dal (United),164740,86944,52.8 %,5900,6.8%
Torpa,59,ST,Koche Munda,Bharatiya Janta Party,138394,82273,59.4 %,8132,9.9%
Khunti,60,ST,Nilkanth Singh Munda,Bharatiya Janta Party,152237,95423,62.7 %,15700,16.5%
Silli,61,GEN,Sudesh Kumar Mahto,All Jharkhand Students Union,164490,107069,65.1 %,19312,18.0%
Khijri,62,ST,Karia Munda,Bharatiya Janta Party,253476,147024,58.0 %,2628,1.8%
Ranchi,63,GEN,Chandreshwar Prasad Singh,Bharatiya Janta Party,285034,143936,50.5 %,26120,18.1%
Hatia,64,GEN,Gopal S.N. Shahdeo,Indian National Congress,326166,165837,50.8 %,5207,3.1%
Kanke,65,SC,Ram Chander Baitha,Bharatiya Janta Party,298108,151013,50.7 %,15059,10.0%
Mandar,66,ST,Bandhu Tirkey,United Goans Democratic Party,243932,140233,57.5 %,20232,14.4%
Sisai,67,ST,Sri Samir Oraon,Bharatiya Janta Party,188104,102477,54.5 %,643,0.6%
Gumla,68,ST,Bhushan Tirkey,Jharkhand Mukti Morcha,179636,93769,52.2 %,869,0.9%
Bishunpur,69,ST,Chandresh Oraon,Bharatiya Janta Party,190207,97074,51.0 %,569,0.6%
Simdega,70,ST,Neil Tirkey,Indian National Congress,179358,115150,64.2 %,9111,7.9%
Kolebira,71,ST,Enos Ekka,Jharkhand Party,161495,99157,61.4 %,4286,4.3%
Lohardaga,72,ST,Sukhdeo Bhagat,Indian National Congress,182022,106781,58.7 %,6780,6.3%
Manika,73,ST,Ramchandra Singh,Rashtriya Janata Dal,163871,84318,51.5 %,9883,11.7%
Latehar,74,SC,Prakash Ram,Rashtriya Janata Dal,179062,70223,39.2 %,5398,7.7%
Panki,75,GEN,Bidesh Singh,Rashtriya Janata Dal,191080,109088,57.1 %,20422,18.7%
Daltonganj,76,GEN,Indar Singh Namdhari,Janata Dal (United),249929,143279,57.3 %,3761,2.6%
Bishrampur,77,GEN,Ramchandra Chandravansi,Rashtriya Janata Dal,231535,126987,54.8 %,18612,14.7%
Chhatarpur,78,SC,Radha Krishna Kishore,Janata Dal (United),186955,101270,54.2 %,16433,16.2%
Hussainabad,79,GEN,Kamlesh Kr. Singh,Nationalist Congress Party,203556,109660,53.9 %,35,0.0%
Garhwa,80,GEN,Giri Nath Singh,Rashtriya Janata Dal,234629,139059,59.3 %,8533,6.1%
Bhawanathpur,81,GEN,Bhanu Pratap Sahi,All India Forward Bloc,244124,154360,63.2 %,5050,3.3%
