#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,Khalap Ramakant Dattaram,Maharashtrawadi Gomantak,16645,13120,78.8 %,1281.0,9.8%
2,Pernem,2,GEN,Salgoankar Shankar Kashinath,Maharashtrawadi Gomantak,15294,11711,76.6 %,3529.0,30.1%
3,Dargalim,3,SC,Mandrekar Deu Gunaji,Maharashtrawadi Gomantak,12530,9060,72.3 %,5425.0,59.9%
4,Tivim,4,GEN,Naik Vinayak Vitthal,Maharashtrawadi Gomantak,19917,14554,73.1 %,2033.0,14.0%
5,Mapusa,5,GEN,Sirsat Surendra V.,Maharashtrawadi Gomantak,19580,13570,69.3 %,2157.0,15.9%
6,Siolim,6,GEN,Naik Salagonkar Ashok Tukaram,Maharashtrawadi Gomantak,19407,14641,75.4 %,13.0,0.1%
7,Calangute,7,GEN,Parulekar Suresh Vishwanath,Indian National Congress,19526,14551,74.5 %,236.0,1.6%
8,Saligao,8,GEN,De Souza Wilfred Tito Fermino,Indian National Congress,16107,12479,77.5 %,427.0,3.4%
9,Aldona,9,GEN,Chopdekar Ratnakar Maddu,Maharashtrawadi Gomantak,22860,16605,72.6 %,333.0,2.0%
10,Panaji,10,GEN,Joan Bapitsta Florini Gonsalves,Indian National Congress,15633,10260,65.6 %,1068.0,10.4%
11,Taleigao,11,GEN,Somnath Dattta Zuwarkar,Indian National Congress,17077,11615,68.0 %,1379.0,11.9%
12,Santa Cruz,12,GEN,Victor Benamin Gonsalves,Indian National Congress,20671,14436,69.8 %,1297.0,9.0%
13,Santo. Andre,13,GEN,Carmo Rafael Andre Jose Pegado,Independent,17816,12955,72.7 %,1370.0,10.6%
14,Cumbarjua,14,GEN,Dharma Vassudeo Chodankar,Maharashtrawadi Gomantak,20496,15076,73.6 %,456.0,3.0%
15,Bicholim,15,GEN,Raut Pandurang Dattaram,Maharashtrawadi Gomantak,17026,13244,77.8 %,1568.0,11.8%
16,Maem,16,GEN,Kakodkar Shashikalal Gurudutt,Maharashtrawadi Gomantak,14875,11669,78.4 %,4612.0,39.5%
17,Pale,17,GEN,Usgonkar Vinay Kumar Pundlik,Maharashtrawadi Gomantak,19048,13275,69.7 %,5188.0,39.1%
18,Poriem,18,GEN,Rane Pratapsing Raoji,Indian National Congress,16166,12975,80.3 %,2105.0,16.2%
19,Valpoi,19,GEN,Prabhu Balkrishna (Ashok Jairam),Indian National Congress,12993,10223,78.7 %,1130.0,11.1%
20,Ponda,20,GEN,Shivdas Atamaram Shet Verekar,Maharashtrawadi Gomantak,21530,14628,67.9 %,1945.0,13.3%
21,Priol,21,GEN,Jalmi Kashinath Govind,Maharashtrawadi Gomantak,21273,16521,77.7 %,7753.0,46.9%
22,Marcaim,22,GEN,Naik Ravi Sitaram,Maharashtrawadi Gomantak,20185,15423,76.4 %,1651.0,10.7%
23,Siroda,23,GEN,Sirodkar Subhas Ankush,Indian National Congress,19154,14622,76.3 %,285.0,1.9%
24,Mormugao,24,GEN,Shaikh Hassan Haroon,Indian National Congress,25038,14751,58.9 %,212.0,1.4%
25,Vasco Da Gama,25,GEN,D'sonza Simon Peter,Indian National Congress,22498,13996,62.2 %,325.0,2.3%
26,Cortalim,26,GEN,Godinho Mauvin,Indian National Congress,20566,15183,73.8 %,836.0,5.5%
27,Loutolim,27,GEN,Barbosa Luis Proto Aleixo,Indian National Congress,16085,11122,69.1 %,115.0,1.0%
28,Benaulim,28,GEN,Alimno Churchil Braz,Indian National Congress,17524,13238,75.5 %,5554.0,42.0%
29,Fatorda,29,GEN,Cardoz Luis Alex,Indian National Congress,17985,12639,70.3 %,1865.0,14.8%
30,Margao,30,GEN,Naik Ananta Narcinva,Independent,19058,12798,67.2 %,452.0,3.5%
31,Curtorim,31,GEN,Sardinha Cosme Francisco Caetano,Indian National Congress,18646,13302,71.3 %,4940.0,37.1%
32,Navelim,32,GEN,Faleiro Luizinho Joa-Quim (Uncontested Elected),Indian National Congress,21425,RU,,,
33,Velim,33,GEN,Furtado Farrel Benito,Indian National Congress,17646,11604,65.8 %,6706.0,57.8%
34,Cuncolim,34,GEN,Fernandes Manuel Gregorio,Indian National Congress,19089,13009,68.1 %,1051.0,8.1%
35,Sanvordem,35,GEN,Amashekar Mohan Anant,Maharashtrawadi Gomantak,20765,15115,72.8 %,3349.0,22.2%
36,Sanguem,36,GEN,Prabhu Desai Ranu Anant,Maharashtrawadi Gomantak,16227,12454,76.7 %,2583.0,20.7%
37,Curchorem,37,GEN,Domnick Fernandes,Indian National Congress,19755,15083,76.4 %,1376.0,9.1%
38,Quepem,38,GEN,Valip Prakash Shankar,Maharashtrawadi Gomantak,19743,15049,76.2 %,4310.0,28.6%
39,Canacona,39,GEN,Bandekar Sanjay Vimal,Maharashtrawadi Gomantak,14334,10680,74.5 %,3330.0,31.2%
40,Poinguinim,40,GEN,Vasu Paik Gaonkar,Indian National Congress,11794,9176,77.8 %,85.0,0.9%
