AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Yoksam-Tashiding,1,BL,West,Sonam Dadul Bhutia,Sikkim Democratic Front,11522,9918,86.1 %,4218,42.5%
Yangthang,2,GEN,West,Chandra Maya Limboo (SUBBA),Sikkim Democratic Front,10986,9305,84.7 %,1639,17.6%
Maneybung-Dentam,3,GEN,West,Narendra Kumar Subba,Sikkim Democratic Front,12410,10682,86.1 %,5218,48.8%
Gyalshing-Barnyak,4,GEN,West,Sher Bahadur Subedi,Sikkim Democratic Front,10447,8905,85.2 %,639,7.2%
Rinchenpong,5,BL,West,Karma Sonam Lepcha,Sikkim Democratic Front,12501,10746,86.0 %,4456,41.5%
Daramdin,6,BL,West,Danorbu Sherpa,Sikkim Democratic Front,13420,11387,84.9 %,1604,14.1%
Soreong-Chakung,7,GEN,West,Ram Bahadur Limboo (SUBBA),Sikkim Democratic Front,13901,11906,85.6 %,1929,16.2%
Salghari-Zoom,8,SC,West,Arjun Kumar Ghatani,Sikkim Democratic Front,9635,8076,83.8 %,779,9.6%
Barfung,9,BL,South,Dorjee Dazom Bhutia,Sikkim Democratic Front,12270,10408,84.8 %,3179,30.5%
Poklok-Kamrang,10,GEN,South,Kedar Nath Rai,Sikkim Democratic Front,13460,11614,86.3 %,4671,40.2%
Namchi-Singhithang,11,GEN,South,Pawan Chamling,Sikkim Democratic Front,10820,8668,80.1 %,1084,12.5%
Melli,12,GEN,South,Tulshi Devi Rai,Sikkim Democratic Front,13413,11371,84.8 %,4249,37.4%
Namthang-Rateypani,13,GEN,South,Tilu Gurung,Sikkim Democratic Front,13178,11046,83.8 %,1155,10.5%
Temi-Namphing,14,GEN,South,Garjaman Gurung,Sikkim Democratic Front,12177,10215,83.9 %,1389,13.6%
Rangang-Yangang,15,GEN,South,Pawan Chamling,Sikkim Democratic Front,11747,9936,84.6 %,3142,31.6%
Tumen-Lingi,16,BL,South,Ugen T. Gyatso Bhutia,Sikkim Democratic Front,13578,11550,85.1 %,3192,27.6%
Khamdong-Singtam,17,GEN,East,Som Nath Poudyal,Sikkim Democratic Front,11417,9604,84.1 %,270,2.8%
West Pendam,18,SC,East,Gopal Baraily,Sikkim Krantikari Morcha,12399,10261,82.8 %,920,9.0%
Rhenock,19,GEN,East,Hemendra Adhikari,Sikkim Krantikari Morcha,15153,12818,84.6 %,954,7.4%
Chujachen,20,GEN,East,Bikram Pradhan,Sikkim Democratic Front,15402,12850,83.4 %,3411,26.5%
Gnathang-Machong,21,BL,East,Dorjee Tsh. Lepcha,Sikkim Democratic Front,10053,8619,85.7 %,1916,22.2%
Namcheybung,22,GEN,East,Bek Bahadur Rai,Sikkim Democratic Front,12882,10995,85.4 %,622,5.7%
Shyari,23,BL,East,Kunga Nima Lepcha,Sikkim Krantikari Morcha,12604,10194,80.9 %,736,7.2%
Martam-Rumtek,24,BL,East,Mechung Bhutia,Sikkim Krantikari Morcha,14496,12053,83.1 %,479,4.0%
Upper Tadong,25,GEN,East,Timothy William Basnett,Sikkim Krantikari Morcha,8930,6857,76.8 %,122,1.8%
Arithang,26,GEN,East,Shyam Pradhan,Sikkim Krantikari Morcha,9483,6951,73.3 %,1606,23.1%
Gangtok,27,BL,East,Pintso Chopel,Sikkim Krantikari Morcha,10051,6867,68.3 %,1891,27.5%
Upper Burtuk,28,GEN,East,Prem Singh Tamang,Sikkim Krantikari Morcha,12748,10393,81.5 %,573,5.5%
Kabi Lungchuk,29,BL,North,Ugen Nedup Bhutia,Sikkim Krantikari Morcha,11047,9383,84.9 %,126,1.3%
Djongu,30,BL,North,Sonam Gyatso Lepcha,Sikkim Democratic Front,8162,7253,88.9 %,2175,30.0%
Lachen Mangan,31,BL,North,Tshering Wangdi Lepcha,Sikkim Democratic Front,6869,5852,85.2 %,557,9.5%
Sangha,32,GEN,North,Sonam Lama,Sikkim Krantikari Morcha,2904,2198,75.7 %,125,5.7%
