AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Bhaderwah,54,GEN,Abdul Rehman,Bahujan Samaj Party,64450,43006,66.7 %,4355,10.1%
Ramban,55,SC,Bali Bhagat,Bharatiya Janta Party,43696,26772,61.3 %,2236,8.4%
Banihal,56,GEN,Mohd. Farooq Mir,Independent,45595,23827,52.3 %,3147,13.2%
Gulabgarh,57,GEN,Abdul Ghani Malik,Janata Dal,43183,28940,67.0 %,956,3.3%
Reasi,58,GEN,Jagjiven Lal,Janata Dal,70987,43501,61.3 %,4902,11.3%
Gool Arnas,59,GEN,Abdul Wahid Shah,Jammu & Kashmir National Conference,37959,22125,58.3 %,4114,18.6%
Udhampur,60,GEN,Shiv Charan Gupta,Bharatiya Janta Party,71725,40309,56.2 %,15465,38.4%
Chanani,61,SC,Prithvi Chand,Bharatiya Janta Party,51517,24676,47.9 %,2904,11.8%
Ramnagar,62,GEN,Harsh Dev Singh,Jammu & Kashmir Panthers Party,69413,37380,53.9 %,601,1.6%
Bani,63,GEN,Ghulam Hyder,Jammu & Kashmir National Conference,27068,17306,63.9 %,2364,13.7%
Basohli,64,GEN,Lal Singh,All India Indira Congress (TIWARI),50098,31869,63.6 %,4228,13.3%
Kathua,65,GEN,Sagar Chand,Bahujan Samaj Party,75739,49118,64.9 %,1129,2.3%
Billawar,66,GEN,Balbir Singh,Indian National Congress,59629,37273,62.5 %,632,1.7%
Hiranagar,67,SC,Prem Lal,Bharatiya Janta Party,73663,44820,60.8 %,2292,5.1%
Samba,68,SC,Som Nath,Bahujan Samaj Party,60779,34243,56.3 %,6017,17.6%
Vijaypur,69,GEN,Surjit Singh,Jammu & Kashmir National Conference,73696,49874,67.7 %,218,0.4%
Nagrota,70,GEN,Ajat Shatru Singh,Jammu & Kashmir National Conference,44196,28539,64.6 %,2118,7.4%
Gandhinagar,71,GEN,Piara Singh,Bharatiya Janta Party,105598,53387,50.6 %,2637,4.9%
Jammu East,72,GEN,Vaid Vishno Dutt,Bharatiya Janta Party,69525,32777,47.1 %,12501,38.1%
Jammu West,73,GEN,Hans Raj,Bharatiya Janta Party,115286,49941,43.3 %,12438,24.9%
Bishnah,74,GEN,Jagdish Raj Dubey,Janata Dal,60274,42170,70.0 %,1884,4.5%
R.S. Pura,75,SC,Ram Chand,Bahujan Samaj Party,52830,35909,68.0 %,1529,4.3%
Suchetgarh,76,GEN,Chuni Lal,Bharatiya Janta Party,42762,30661,71.7 %,136,0.4%
Marh,77,GEN,Ajay Kumar,Jammu & Kashmir National Conference,48697,34427,70.7 %,813,2.4%
Raipur Domana,78,SC,Sat Paul,Janata Dal,53551,33047,61.7 %,2730,8.3%
Akhnoor,79,GEN,Govind Ram,Jammu & Kashmir National Conference,58647,42698,72.8 %,272,0.6%
Chhamb,80,SC,Tara Chand,Indian National Congress,50448,36484,72.3 %,662,1.8%
Nowshera,81,GEN,Radhay Sham Sharma,Indian National Congress,64532,40487,62.7 %,9536,23.6%
Darhal,82,GEN,Ch. Mohd. Hussain,Jammu & Kashmir National Conference,67002,37153,55.5 %,5166,13.9%
Rajouri,83,GEN,Mohd. Sharief Tariq,Jammu & Kashmir National Conference,79073,51772,65.5 %,7886,15.2%
Kalakote,84,GEN,Ashok Kumar Sharma,Indian National Congress,57209,31479,55.0 %,9975,31.7%
Surankote,85,GEN,Mushtaq Ahmed Shah,Jammu & Kashmir National Conference,64230,47697,74.3 %,8532,17.9%
Mendhar,86,GEN,Nisar Ahmed Khan,Jammu & Kashmir National Conference,65888,45193,68.6 %,2460,5.4%
Poonch Haveli,87,GEN,Ghulam Mohd. Jan,Jammu & Kashmir National Conference,72786,48764,67.0 %,5428,11.1%
