AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Hatpipliya,172,GEN,Dewas,Manoj Narayan Singh Choudhary,Indian National Congress,182250,157962,86.7 %,13519,8.6%
Khategaon,173,GEN,Dewas,Aashish Govind Sharma,Bharatiya Janta Party,198501,170292,85.8 %,7772,4.6%
Bagli,174,ST,Dewas,Kannoje Pahadsingh,Bharatiya Janta Party,214439,181924,84.8 %,11843,6.5%
Mandhata,175,GEN,East Nimar,Narayan Patel,Indian National Congress,190776,149256,78.2 %,1236,0.8%
Harsud,176,ST,East Nimar,Kunwar Vijay Shah,Bharatiya Janta Party,196839,150534,76.5 %,18949,12.6%
Khandwa,177,SC,East Nimar,Devendra Verma,Bharatiya Janta Party,251386,166977,66.4 %,19137,11.5%
Pandhana,178,ST,East Nimar,Ram Dangore,Bharatiya Janta Party,242076,193462,79.9 %,23750,12.3%
Nepanagar,179,ST,Burhanpur,Sumitra Devi Kasdekar,Indian National Congress,230687,180200,78.1 %,1264,0.7%
Burhanpur,180,GEN,Burhanpur,"Thakur Surendra Singh Naval Singh ""shera Bhaiya""",Independent,282209,213949,75.8 %,5120,2.4%
Bhikangaon,181,ST,West Nimar,Jhuma Dr. Dhyansingh Solanki,Indian National Congress,212706,161544,75.9 %,27257,16.9%
Badwaha,182,GEN,West Nimar,Sachin Birla,Indian National Congress,208323,168686,81.0 %,30508,18.1%
Maheshwar,183,SC,West Nimar,Dr. Vijaylaxmi Sadho,Indian National Congress,207832,167706,80.7 %,35836,21.4%
Kasrawad,184,GEN,West Nimar,Sachin Subhashchandra Yadav,Indian National Congress,205520,172610,84.0 %,5539,3.2%
Khargone,185,GEN,West Nimar,Ravi Rameshchandra Joshi,Indian National Congress,219762,174231,79.3 %,9512,5.5%
Bhagwanpura,186,ST,West Nimar,Kedar Chidabhai Dawar,Independent,222851,165733,74.4 %,9716,5.9%
Sendhwa (S.T.),187,ST,Barwani,Gyarsilal Rawat,Indian National Congress,242090,181686,75.0 %,15878,8.7%
Rajpur (S.T.),188,ST,Barwani,Bala Bachchan,Indian National Congress,222683,174818,78.5 %,932,0.5%
Pansemal (S.T.),189,ST,Barwani,Sushri Chandrabhaga Kirade,Indian National Congress,216536,169324,78.2 %,25222,14.9%
