#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
54,Narela,54,SC,Charan Singh Kandera,Indian National Congress,130889,75433,57.6 %,7803,10.3%
55,Bhalswa Jahangirpur,55,GEN,J.S. Chauhan,Indian National Congress,178836,97907,54.7 %,12272,12.5%
56,Adarsh Nagar,56,GEN,Mangat Ram,Indian National Congress,127344,62159,48.8 %,9332,15.0%
57,Pahar Ganj,57,GEN,Anjali Rai,Indian National Congress,84613,47456,56.1 %,11340,23.9%
58,Matia Mahal,58,GEN,Shoaib Iqbal,Janata Dal (Secular),87102,48311,55.5 %,7698,15.9%
59,Balli Maran,59,GEN,Haroon Yusuf,Indian National Congress,87401,48537,55.5 %,22591,46.5%
60,Chandni Chowk,60,GEN,Parlad Singh Sawhney,Indian National Congress,83219,44642,53.6 %,10866,24.3%
61,Timarpur,61,GEN,Surinder Pal Singh,Indian National Congress,105303,55609,52.8 %,5974,10.7%
62,Model Town,62,GEN,Kanwar Karan Singh,Indian National Congress,106360,54596,51.3 %,4716,8.6%
63,Kamla Nagar,63,GEN,Shadi Ram,Indian National Congress,86806,51850,59.7 %,5162,10.0%
64,Sadar Bazar,64,GEN,Rajesh Jain,Indian National Congress,88627,50171,56.6 %,18079,36.0%
65,Moti Nagar,65,GEN,Madan Lal Khurana,Bharatiya Janta Party,96880,60393,62.3 %,15190,25.2%
66,Patel Nagar,66,GEN,Rama Kant Goswami,Indian National Congress,106184,54689,51.5 %,14176,25.9%
67,Rajinder Nagar,67,GEN,Puran Chand Yogi,Bharatiya Janta Party,104150,52743,50.6 %,891,1.7%
68,Karol Bagh,68,SC,Surender Pal Ratawal,Bharatiya Janta Party,85753,46562,54.3 %,859,1.8%
69,Ram Nagar,69,SC,Moti Lal Sodi,Bharatiya Janta Party,91047,49666,54.5 %,1098,2.2%
70,Baljit Nagar,70,SC,Krishna Tirath,Indian National Congress,104233,54443,52.2 %,10930,20.1%
