#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
1,Mandrem,1,GEN,Parab Sangeeta Gopal,Indian National Congress,18072,14101,78.0 %,633,4.5%
2,Pernem,2,GEN,Kotkar Parshuram Nagesh,Maharashtrawadi Gomantak,16773,13164,78.5 %,4279,32.5%
3,Dargalim,3,SC,Mandrekar Deu Gunaji,Maharashtrawadi Gomantak,13882,9696,69.8 %,3346,34.5%
4,Tivim,4,GEN,Narvekar Dayanand Ganesh,Indian National Congress,22810,16340,71.6 %,7627,46.7%
5,Mapusa,5,GEN,Shirsat Surendra Vasant,Maharashtrawadi Gomantak,21628,14010,64.8 %,484,3.5%
6,Siolim,6,GEN,Chodankar Chandrakant Uttam,Maharashtrawadi Gomantak,22603,16765,74.2 %,2046,12.2%
7,Calangute,7,GEN,Cardoz Lebart Tomazin,Indian National Congress,21769,15464,71.0 %,3970,25.7%
8,Saligao,8,GEN,D'souza Wilfred Anthony,Indian National Congress,18894,14414,76.3 %,1295,9.0%
9,Aldona,9,GEN,D'sa Fatima Joseph Philip,Indian National Congress,25880,18051,69.7 %,511,2.8%
10,Panaji,10,GEN,Prabhu Parrikar Manohar Gopalkrishna,Bharatiya Janta Party,16881,10547,62.5 %,1066,10.1%
11,Taleigao,11,GEN,Zuwarkar Somnath Datta,Indian National Congress,20900,13776,65.9 %,72,0.5%
12,Santa Cruz,12,GEN,Victoria Fernandes Romeo,Independent,24315,16998,69.9 %,1306,7.7%
13,St. Andre,13,GEN,Pegado Carmo Rafael,Indian National Congress,20319,14619,71.9 %,2377,16.3%
14,Cumbarjua,14,GEN,Kuttikar Krishna Saju,Indian National Congress,23495,15959,67.9 %,310,1.9%
15,Bicholim,15,GEN,Bhatale Pandurang Krishna,Indian National Congress,19217,14846,77.3 %,318,2.1%
16,Maem,16,GEN,Kakodkar Shashikala Gurudatt,Maharashtrawadi Gomantak,16582,12754,76.9 %,3264,25.6%
17,Pale,17,GEN,Malik Sadanand Uttam,Maharashtrawadi Gomantak,20567,14564,70.8 %,4774,32.8%
18,Poriem,18,GEN,Rane Pratapsingh Raojirao,Indian National Congress,18085,14639,80.9 %,1428,9.8%
19,Valpoi,19,GEN,Haldankar Narahari Tukaram,Bharatiya Janta Party,14324,11343,79.2 %,958,8.4%
20,Ponda,20,GEN,Verekar Shivdas Atmaram,Maharashtrawadi Gomantak,25279,16649,65.9 %,1978,11.9%
21,Priol,21,GEN,Jalmi Dr. Kashinath Govind,Maharashtrawadi Gomantak,23021,17940,77.9 %,1342,7.5%
22,Marcaim,22,GEN,Naik Shripad Yesso,Bharatiya Janta Party,21966,17399,79.2 %,2700,15.5%
23,Siroda,23,GEN,Shirodkar Subhash Ankush,Indian National Congress,21151,16830,79.6 %,103,0.6%
24,Mormugao,24,GEN,Vaz John Manuel H.,Independent,30235,18042,59.7 %,2321,12.9%
25,Vasco Da Gama,25,GEN,Mesouita Menezes Wilfred M.,Maharashtrawadi Gomantak,27921,17237,61.7 %,1593,9.2%
26,Cortalim,26,GEN,Mauvin Heliodoro G.M.,Indian National Congress,24476,16771,68.5 %,3059,18.2%
27,Loutolim,27,GEN,Aleixo Sequeira,Indian National Congress,17484,12836,73.4 %,1669,13.0%
28,Benaulim,28,GEN,Churchil Braz Alemao,United Goans Democratic Party,18945,13802,72.9 %,4022,29.1%
29,Fatorda,29,GEN,Cardoz Luis Aleix,Indian National Congress,21846,14324,65.6 %,350,2.4%
30,Margao,30,GEN,Kamat Digambar Vasant,Bharatiya Janta Party,19333,12554,64.9 %,2312,18.4%
31,Curtorim,31,GEN,Gaonkar Antonio Damiao,United Goans Democratic Party,19409,13851,71.4 %,94,0.7%
32,Navelim,32,GEN,Luizinho Faleiro,Indian National Congress,23314,15998,68.6 %,2882,18.0%
33,Velim,33,GEN,Fernandes Manu,Independent,18152,11762,64.8 %,2477,21.1%
34,Cuncolim,34,GEN,D'souza Arecio Agapito,United Goans Democratic Party,20032,13492,67.4 %,2385,17.7%
35,Sanvordem,35,GEN,Prabhu Vishnu Gopal,Maharashtrawadi Gomantak,22522,16112,71.5 %,1676,10.4%
36,Sanguem,36,GEN,Naik Pandu Vasu,Indian National Congress,17214,12893,74.9 %,2656,20.6%
37,Curchorem,37,GEN,Domnic Fernandes,Indian National Congress,23078,16182,70.1 %,4826,29.8%
38,Quepem,38,GEN,Prakash Shankar Velip,Maharashtrawadi Gomantak,21799,16503,75.7 %,3244,19.7%
39,Canacona,39,GEN,Bandekar Sanjay Vimal,Indian National Congress,15503,11931,77.0 %,1297,10.9%
40,Poinguinim,40,GEN,Acharya Govind Raghuchandra,Maharashtrawadi Gomantak,12955,10539,81.4 %,1116,10.6%
