pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1339327,668497,49.90%,234097,35.00%,MANOHAR LAL TAMTA,male,51.0,UK2024PC03
Garhwal,2,GEN,Uttarakhand,Anil Baluni,Bharatiya Janta Party,1369388,737431,53.90%,163503,22.20%,LATE SHRI PITAMBER DUTT,male,53.0,UK2024PC02
Hardwar,5,GEN,Uttarakhand,Trivendra Singh Rawat,Bharatiya Janta Party,2035726,1302623,64.00%,164056,12.60%,,,,UK2024PC05
Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,2015809,1266016,62.80%,334548,26.40%,KAMLAPATI BHATT,male,64.0,UK2024PC04
Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Lakshmi Shah,Bharatiya Janta Party,1577664,862041,54.60%,272493,31.60%,MANUJENDRA SHAH,female,73.0,UK2024PC01
