pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1790797,1054011,58.90%,221639,21.00%,AKHILESH YADAV,female,46.0,UP2024PC21
Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hemamalini Dharmendra Deol,Bharatiya Janta Party,1929550,957046,49.60%,293407,30.70%,DHARMENDRA DEOL,female,74.0,UP2024PC17
Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Arun Govil,Bharatiya Janta Party,2000530,1182479,59.10%,10585,0.90%,CHANDRAPRAKASH GOVIL,male,72.0,UP2024PC10
Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Patel,Apna Dal (Soneylal),1906327,1105405,58.00%,37810,3.40%,ASHISH KUMAR SINGH,female,43.0,UP2024PC79
Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,1878195,1051983,56.00%,33406,3.20%,GOVARDHAN LAL,male,57.0,UP2024PC32
Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],R.K. Chaudhary,Samajwadi Party,2187232,1377452,63.00%,70292,5.10%,,,,UP2024PC34
Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Ruchi Vira,Samajwadi Party,2059578,1283185,62.30%,105762,8.20%,UDAYAN VIRA,female,62.0,UP2024PC06
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Harendra Singh Malik,Samajwadi Party,1817472,1078669,59.40%,24672,2.30%,JAGJIT SINGH,male,69.0,UP2024PC03
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Chandrashekhar,Aazad Samaj Party (Kanshi Ram),1644909,1001303,60.90%,151473,15.10%,GORDHAN DAS,male,36.0,UP2024PC05
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Praveen Patel,Bharatiya Janta Party,2067043,1014824,49.10%,4332,0.40%,MAHENDRA PRATAP SINGH,male,45.0,UP2024PC51
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Jitin Prasada,Bharatiya Janta Party,1831699,1160947,63.40%,164935,14.20%,Kunwar Jitendra Prasad,male,50.0,UP2024PC26
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Shiv Pal Singh Patel (DR. S P SINGH),Samajwadi Party,1833312,947288,51.70%,66206,7.00%,RAM LAL SINGH,male,68.0,UP2024PC39
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1784314,1039219,58.20%,390030,37.50%,RAJIV GANDHI,male,53.0,UP2024PC36
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Mohibbullah,Samajwadi Party,1731836,968079,55.90%,87434,9.00%,MOHAMMAD ALI,male,48.0,UP2024PC07
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Samajwadi Party,1779189,1009545,56.70%,129234,12.80%,RAMDHANI,male,51.0,UP2024PC80
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Imran Masood,Indian National Congress,1855310,1229455,66.30%,64542,5.20%,,,,UP2024PC01
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Samajwadi Party,1776982,917362,51.60%,3573,0.40%,BANGALI,male,63.0,UP2024PC71
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Zia Ur Rehman,Samajwadi Party,1898202,1194983,63.00%,121494,10.20%,Mamlook Ur Rahman,male,35.0,UP2024PC08
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Laxmikant Pappu Nishad,Samajwadi Party,2071964,1091202,52.70%,92170,8.40%,SATAI PRASAD,male,51.0,UP2024PC62
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,2331834,1247902,53.50%,55379,4.40%,CHHOTE LAL,male,47.0,UP2024PC27
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani Verma,Samajwadi Party,1980381,1046528,52.80%,76673,7.30%,,,,UP2024PC58
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rakesh Rathor,Indian National Congress,1759943,1102015,62.60%,89641,8.10%,SUNDAR LAL,male,60.0,UP2024PC30
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Rambhual Nishad,Samajwadi Party,1852590,1033387,55.80%,43174,4.20%,JAGDISH,male,64.0,UP2024PC38
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2341740,1302271,55.60%,35818,2.80%,SWAMI ATMANAND JI MAHARAJ,male,68.0,UP2024PC33
Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1997578,1130143,56.60%,152513,13.50%,DAMODARDAS MODI,male,73.0,UP2024PC77
