pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Tripura East,2,ST,Tripura,Kriti Devi Debbarman,Bharatiya Janta Party,1396761,1134345,81.20%,486819,42.90%,Yogeshwar Raj Singh,female,52,TR2024PC02
Tripura West,1,GEN,Tripura,Biplab Kumar Deb,Bharatiya Janta Party,1463526,1209809,82.70%,611578,50.60%,Late Hirudhan Deb,male,53,TR2024PC01
