pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,father/husband name,gender,age,UID
Nashik,21,GEN,Maharashtra,Rajabhau (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),2030124,1237204,60.90%,162001,13.10%,PRAKASH SHANKARRAO WAJE,male,58.0,MH2024PC21
Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,Shiv Sena (Uddhav Balasaheb Thackrey),1992737,1281052,64.30%,329846,25.70%,BHUPALSINH ALIAS PAVAN SANTAJI RAJENIMBALKAR,male,40.0,MH2024PC40
Palghar,22,ST,Maharashtra,Dr. Hemant Vishnu Savara,Bharatiya Janta Party,2148514,1376074,64.10%,183306,13.30%,Vishnu Rama Savara,male,47.0,MH2024PC22
Parbhani,17,GEN,Maharashtra,Jadhav Sanjay ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),2123056,1331176,62.70%,134061,10.10%,JADHAV HARIBHAU KISHANRAO,male,57.0,MH2024PC17
Pune,34,GEN,Maharashtra,Murlidhar Mohol,Bharatiya Janta Party,2061276,1104572,53.60%,123038,11.10%,Kisanrao Dagadoba Mohol,male,49.0,MH2024PC34
Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatrey,Nationalist Congress Party,1668372,1013272,60.70%,82784,8.20%,Dattatrey Ganpat Tatkare,male,69.0,MH2024PC32
Ramtek,9,SC,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,2049085,1252512,61.10%,76768,6.10%,Daulat Nago Barve,male,46.0,MH2024PC09
Ratnagiri - Si,46,GEN,Maharashtra,Narayan Tatu Rane,Bharatiya Janta Party,1451630,914038,63.00%,47858,5.20%,TATU SITARAM RANE,male,72.0,MH2024PC46
Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1821750,1171666,64.30%,272183,23.20%,Nikhil Eknathrao Khadse,female,36.0,MH2024PC04
Sangli,44,GEN,Maharashtra,Vishal (DADA) PRAKASHBAPU PATIL,Independent,1868174,1168744,62.60%,100053,8.60%,,,,MH2024PC44
Satara,45,GEN,Maharashtra,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle,Bharatiya Janta Party,1889740,1198004,63.40%,32771,2.70%,BHONSLE SHRIMANT CHH PRATAPSINHAMAHARAJ SHAHUMAHARAJ,male,58.0,MH2024PC45
Shirdi,38,SC,Maharashtra,Bhausaheb Rajaram Wakchaure,Shiv Sena (Uddhav Balasaheb Thackrey),1677335,1059864,63.20%,50529,4.80%,RAJARAM GOVIND WAKCHAURE,male,74.0,MH2024PC38
Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party – Sharadchandra Pawar,2539702,1374464,54.10%,140951,10.30%,Ramsing Bhaguji Kolhe,male,43.0,MH2024PC36
Solapur,42,SC,Maharashtra,Praniti Sushilkumar Shinde,Indian National Congress,2030119,1204485,59.30%,74197,6.20%,Sushilkumar Sambhajirao Shinde,female,43.0,MH2024PC42
Thane,25,GEN,Maharashtra,Naresh Ganpat Mhaske,Shiv Sena,2507372,1309068,52.20%,217011,16.60%,GANPAT TUKARAM MHASKE,male,54.0,MH2024PC25
Wardha,8,GEN,Maharashtra,Amar Sharadrao Kale,Nationalist Congress Party – Sharadchandra Pawar,1682771,1095012,65.10%,81648,7.50%,Sharadrao Dadaraoji Kale,male,50.0,MH2024PC08
Yavatmal-Washi,14,GEN,Maharashtra,Sanjay Uttamrao Deshmukh,Shiv Sena (Uddhav Balasaheb Thackrey),1940916,1225530,63.10%,94473,7.70%,UTTAMRAO KHUSHALRAO DESHMUKH,male,55.0,MH2024PC14
